Date,Close/Last,Volume,Open,High,Low
01/30/2026,636.22,6562342,636.25,638.45,631.95
01/29/2026,638.27,8697180,640.43,641.04,629.82
01/28/2026,639.60,5568673,641.05,641.81,638.22
01/27/2026,639.70,4339560,638.42,640.5959,637.87
01/26/2026,637.09,9007380,635.03,638.39,634.52
01/23/2026,633.83,5850367,632.88,635.4705,631.97
01/22/2026,633.57,6085520,634.43,635.62,631.75
01/21/2026,630.29,10403840,625.02,633.40,623.65
01/20/2026,623.15,14877630,626.76,629.7599,622.22
01/16/2026,636.09,6733684,637.96,638.5099,634.68
01/15/2026,636.62,6936972,638.77,639.58,635.70
01/14/2026,634.94,8683436,635.49,636.119,631.00
01/13/2026,638.03,8859978,639.68,640.1507,635.815
01/12/2026,639.34,7929830,635.19,640.16,635.16
01/09/2026,638.31,7864139,635.15,639.44,633.80
01/08/2026,634.06,9017437,633.48,635.1001,632.2362
01/07/2026,634.17,8820106,636.58,638.22,633.93
01/06/2026,636.21,8672000,632.64,636.68,632.53
01/05/2026,632.46,16175620,631.38,634.04,631.23
01/02/2026,628.30,11337020,630.635,631.66,625.21
12/31/2025,627.13,5556821,631.94,632.14,626.94
12/30/2025,631.72,4180422,632.20,633.21,631.41
12/29/2025,632.60,6579447,632.30,633.79,630.95
12/26/2025,634.84,3852111,635.14,636.075,633.88
12/24/2025,634.78,3275186,632.67,635.32,632.54
12/23/2025,632.67,13798470,628.94,632.88,628.92
12/22/2025,629.73,9850052,628.965,630.27,627.80
12/19/2025,627.56,10487010,623.98,628.13,623.86
12/18/2025,622.01,37062390,623.05,625.94,620.57
12/17/2025,617.35,21356910,625.19,625.64,617.159
12/16/2025,624.21,15819620,624.55,626.22,620.65
12/15/2025,625.96,11337200,630.56,630.56,624.57
12/12/2025,626.87,8534727,632.80,633.43,624.48
12/11/2025,633.71,33921040,630.00,633.87,627.27
12/10/2025,632.16,22457430,627.63,633.505,626.47
12/09/2025,628.10,12848980,628.18,630.21,627.66
12/08/2025,628.61,6876706,631.36,631.47,626.701
12/05/2025,630.48,5693102,630.30,632.98,629.48
12/04/2025,629.30,5147737,630.13,630.18,626.48
12/03/2025,628.77,6338404,625.77,629.78,624.95
12/02/2025,626.58,5280591,627.01,628.77,624.62
12/01/2025,625.52,9191563,624.17,628.01,624.10
11/28/2025,628.41,2953169,626.025,628.63,625.705
11/26/2025,624.95,5323215,623.06,626.81,622.26
11/25/2025,620.66,7389540,614.78,621.75,610.99
11/24/2025,614.94,6242684,609.28,616.09,608.305
11/21/2025,605.93,9821397,602.25,611.01,598.38
11/20/2025,599.96,13984990,618.72,621.1288,599.36
11/19/2025,609.20,7449382,607.52,613.5699,605.67
11/18/2025,607.00,8542623,608.72,611.51,603.00
11/17/2025,612.04,8902509,615.74,619.4485,608.81
11/14/2025,617.83,9681664,611.75,621.2199,609.83
11/13/2025,617.99,13065770,625.67,626.02,616.51
11/12/2025,628.22,6090220,629.65,629.77,626.10
11/11/2025,627.91,5639205,625.16,628.49,624.07
11/10/2025,626.47,8424969,622.69,627.21,620.66
11/07/2025,616.89,7571254,614.09,617.02,607.92
11/06/2025,616.24,7099355,621.96,622.79,614.82
11/05/2025,622.86,10323060,620.59,626.00,619.83
11/04/2025,620.99,8390532,621.65,625.17,620.20
11/03/2025,628.27,5568052,630.42,630.54,625.16
10/31/2025,627.04,7058629,629.84,629.94,624.50
10/30/2025,625.24,6243275,628.81,630.63,625.10
10/29/2025,631.95,6104537,633.21,634.13,627.87
10/28/2025,631.69,5625627,631.71,633.39,629.64
10/27/2025,630.00,7804316,627.74,630.29,627.16
10/24/2025,622.55,5694867,621.92,623.7899,621.207
10/23/2025,617.44,5851842,614.25,618.474,613.99
10/22/2025,613.97,6961589,617.83,617.83,609.83
10/21/2025,617.09,4216197,617.33,618.74,615.981
10/20/2025,617.17,4086209,613.51,618.01,613.51
10/17/2025,610.76,6910972,606.34,612.02,605.10
10/16/2025,607.39,7594824,613.11,614.80,604.14
10/15/2025,611.43,6504851,613.07,616.205,605.82
10/14/2025,608.75,7493479,604.20,612.14,600.51
10/13/2025,609.61,6968434,607.37,611.0272,606.575
10/10/2025,600.51,13664160,617.99,619.60,600.23
10/09/2025,617.10,5898496,619.23,619.59,615.28
10/08/2025,618.77,5035243,616.215,618.90,615.4642
10/07/2025,615.20,7466277,618.30,618.7393,613.82
10/06/2025,617.40,6056437,617.46,618.28,615.48
10/03/2025,615.30,7210689,615.95,618.42,614.288
10/02/2025,615.25,7139472,616.41,616.48,613.02
10/01/2025,614.57,10019980,609.70,615.39,609.57
09/30/2025,612.38,6515666,609.43,612.86,608.27
09/29/2025,610.13,5658835,610.79,611.68,608.48
09/26/2025,610.16,6438634,608.03,610.70,606.565
09/25/2025,606.59,6965655,606.62,607.93,603.35
09/24/2025,609.50,23787300,612.63,612.74,608.19
09/23/2025,611.54,10753000,614.705,615.26,610.341
09/22/2025,614.76,11583810,610.52,615.22,610.51
09/19/2025,611.78,6065655,610.62,612.67,608.85
09/18/2025,608.94,11057540,608.55,611.31,607.07
09/17/2025,606.09,11613630,606.84,608.33,601.55
09/16/2025,606.79,6393185,608.16,608.42,606.0609
09/15/2025,607.59,7710693,606.47,607.77,606.20
09/12/2025,604.44,8130498,604.59,605.98,603.95
09/11/2025,604.57,9109717,601.43,605.23,600.89
09/10/2025,599.68,21641070,600.92,601.75,598.16
09/09/2025,597.95,7844787,596.61,598.37,595.01
